Season,Episode Number,Number in Season,Episode Name,Director,Writer,Original Air Date,US viewers (million),Runtime (mins),IMDB Description,IMDB votes,Imdb Rating,Notable Death Count
3,26,6,The Climb,Alik Sakharov,David Benioff & D. B. Weiss,"May 5, 2013",5.5,53,Jon and the wildlings scale the Wall. The Brotherhood sells Gendry to Melisandre. Robb does what he can to win back the Freys. Tyrion tells Sansa about their engagement.,17167,8.9,1
3,27,7,The Bear and the Maiden Fair,Michelle MacLaren,George R. R. Martin,"May 12, 2013",4.84,58,Jon and the wildlings travel south of the Wall. Talisa tells Robb that she's pregnant. Arya runs away from the Brotherhood. Daenerys arrives at Yunkai. Jaime leaves Brienne behind at Harrenhal.,16496,8.8,0
3,28,8,Second Sons,Michelle MacLaren,David Benioff & D. B. Weiss,"May 19, 2013",5.13,56,Daenerys tries to persuade the Second Sons to join her against Yunkai. Stannis releases Davos from the dungeons. Sam and Gilly are attacked by a White Walker. Sansa and Tyrion wed.,17121,9.1,3
3,29,9,The Rains of Castamere,David Nutter,David Benioff & D. B. Weiss,"June 2, 2013",5.22,51,Robb and Catelyn arrive at the Twins for the wedding. Jon is put to the test to see where his loyalties truly lie. Bran's group decides to split up. Daenerys plans an invasion of Yunkai.,68630,9.9,8
3,30,10,Mhysa,David Nutter,David Benioff & D. B. Weiss,"June 9, 2013",5.39,63,Bran and company travel beyond the Wall. Sam returns to Castle Black. Jon says goodbye to Ygritte. Jaime returns to King's Landing. The Night's Watch asks for help from Stannis.,19573,9.2,1
4,31,1,Two Swords,D. B. Weiss,David Benioff & D. B. Weiss,"April 6, 2014",6.64,58,"Tyrion welcomes a guest to King's Landing. At Castle Black, Jon stands trial. Daenerys is pointed to Meereen, the mother of all slave cities. Arya runs into an old enemy.",23379,9.1,2
4,32,2,The Lion and the Rose,Alex Graves,George R. R. Martin,"April 13, 2014",6.31,52,Joffrey and Margaery's wedding has come. Tyrion breaks up with Shae. Ramsay tries to prove his worth to his father. Bran and company find a Weirwood tree.,37772,9.7,3
4,33,3,Breaker of Chains,Alex Graves,David Benioff & D. B. Weiss,"April 20, 2014",6.59,57,Tyrion is arrested for the murder of Joffery and awaits trial. Sansa escapes King's Landing. Sam sends Gilly to Mole's Town as the Night's Watch finds itself in a tight spot. Meereen challenges Daenerys.,18948,8.9,4
4,34,4,Oathkeeper,Michelle MacLaren,Bryan Cogman,"April 27, 2014",6.95,55,Jaime entrusts a task to Brienne. Daenerys frees Meereen. Jon is given permission to lead a group of Night's Watchmen to Craster's Keep. Bran and company are taken hostage.,18075,8.9,1
4,35,5,First of His Name,Michelle MacLaren,David Benioff & D. B. Weiss,"May 4, 2014",7.16,53,Tommen is crowned King of the Seven Kingdoms. Cersei builds her case against Tyrion. Sansa and Lord Baelish arrive at the Eyrie. The Night's Watch attacks Craster's Keep.,17414,8.8,3
4,36,6,The Laws of Gods and Men,Alik Sakharov,Bryan Cogman,"May 11, 2014",6.4,51,Tyrion's trial has come. Yara and her troops storm the Dreadfort to free Theon. Daenerys meets Hizdar zo Loraq. Stannis makes a deal with the Iron Bank of Braavos.,32906,9.7,0
4,37,7,Mockingbird,Alik Sakharov,David Benioff & D. B. Weiss,"May 18, 2014",7.2,51,Tyrion tries to find a champion. Daenerys sleeps with Daario. The Hound becomes wounded. Jon's advice is ignored at Castle Black. Brienne and Podrick receive a tip on Arya's whereabouts.,19693,9.2,4
